IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.27.62.248,4,4,0.00,185.96,0.00,N/A
104.16.163.13,4,4,0.00,186.02,0.00,N/A
162.159.224.146,4,4,0.00,186.04,0.00,N/A
104.17.40.191,4,4,0.00,186.44,0.00,N/A
104.17.146.157,4,4,0.00,186.45,0.00,N/A
172.67.158.25,4,4,0.00,186.51,0.00,N/A
104.27.102.160,4,4,0.00,186.51,0.00,N/A
104.17.77.86,4,4,0.00,186.52,0.00,N/A
172.67.160.13,4,4,0.00,186.52,0.00,N/A
172.65.44.112,4,4,0.00,186.53,0.00,N/A
172.65.35.236,4,4,0.00,186.57,0.00,N/A
